,int_rate,dti,fico_avg,annual_inc,loan_amnt,term,revol_util,inq_last_6mths,delinq_2yrs,open_acc,payment_to_income,log_loan_amnt,log_revol_bal,credit_history_age_days,grade_B,grade_C,grade_D,grade_E,grade_F,grade_G,home_ownership_OWN,home_ownership_RENT,verification_status_Source Verified,verification_status_Verified,application_type_Joint App
6898,9.8,2.77,712.0,42000.0,18000.0,60,17.0,0.0,0.0,4.0,0.009063593723958954,9.798182590890704,7.875119281040292,16680,1,0,0,0,0,0,0,0,0,0,0
6037,6.99,12.18,697.0,150000.0,16000.0,36,72.0,4.0,1.0,11.0,0.003293111379257472,9.680406499268875,9.530029703062944,11536,0,0,0,0,0,0,0,0,0,0,0
6362,5.32,22.32,697.0,65000.0,15000.0,36,22.8,2.0,1.0,18.0,0.006949585390993985,9.61587214452889,9.688498165477787,14732,0,0,0,0,0,0,0,1,0,0,0
7696,8.38,6.69,697.0,48000.0,10000.0,36,53.0,1.0,0.0,10.0,0.006564863232016,9.210440366976515,8.993675786759681,2101,1,0,0,0,0,0,0,1,1,0,0
4038,11.48,11.69,662.0,66000.0,7000.0,36,98.0,1.0,0.0,5.0,0.0034964621748155332,8.853808274977197,7.771488760117616,4536,1,0,0,0,0,0,0,1,0,1,0
8454,10.64,21.03,682.0,46000.0,8400.0,36,75.3,0.0,0.0,6.0,0.0059472620160431295,9.036106025364846,9.57851889529833,5966,1,0,0,0,0,0,1,0,0,1,0
3469,12.88,10.23,672.0,42000.0,8000.0,36,51.4,0.0,0.0,9.0,0.006406752220185233,8.987321812850123,8.33351070898294,3409,0,1,0,0,0,0,0,0,0,1,0
7441,7.89,18.46,787.0,119000.0,18000.0,36,11.1,0.0,0.0,9.0,0.004732313173838875,9.798182590890704,8.773384596776648,2435,0,0,0,0,0,0,0,1,1,0,0
5322,7.91,12.51,707.0,26000.0,7000.0,36,66.8,0.0,0.0,5.0,0.00842544517518557,8.853808274977197,8.92052268739398,4108,0,0,0,0,0,0,0,1,0,1,0
5405,9.17,26.29,767.0,53000.0,4800.0,36,19.1,1.0,1.0,13.0,0.0028871153374464636,8.47657950853094,8.984818995876008,13452,1,0,0,0,0,0,0,0,0,0,0
6210,17.27,10.93,672.0,113000.0,12000.0,60,79.0,1.0,0.0,9.0,0.002654666772860417,9.392745258631441,9.97469131154246,5874,0,0,1,0,0,0,0,0,0,0,0
7723,16.55,23.48,662.0,53000.0,17700.0,36,98.0,0.0,0.0,8.0,0.011831852229203223,9.781376414141157,10.561007555452921,5082,0,0,1,0,0,0,0,0,0,1,0
2578,20.5,25.43,672.0,78000.0,32750.0,60,62.3,1.0,1.0,18.0,0.01124113793412905,10.396688774948379,10.434468682505683,4870,0,0,0,1,0,0,0,1,1,0,0
5772,11.99,18.23,677.0,141000.0,20800.0,60,73.3,0.0,0.0,16.0,0.0032806859525818964,9.942756341456828,10.050009205198895,5416,0,1,0,0,0,0,0,1,1,0,0
5002,15.77,26.62,667.0,20200.0,5150.0,36,39.6,0.0,0.0,6.0,0.008934211177664471,8.546946149565585,7.721791776817535,8857,0,0,1,0,0,0,0,0,0,1,0
4491,9.8,8.41,682.0,100000.0,10000.0,36,34.4,1.0,1.0,11.0,0.003217367826321737,9.210440366976515,9.48402493478411,9496,1,0,0,0,0,0,0,0,0,1,0
4639,12.88,16.36,662.0,30000.0,1200.0,36,76.8,0.0,0.0,6.0,0.0013456218126062464,7.0909098220799835,7.978653729082731,4261,0,1,0,0,0,0,0,1,1,0,0
5794,12.88,31.57,687.0,160000.0,16000.0,60,69.4,1.0,0.0,19.0,0.0022691733176667646,9.680406499268875,10.202814064582626,6757,0,1,0,0,0,0,0,0,1,0,0
9927,8.38,20.5,672.0,95000.0,18000.0,36,42.7,0.0,0.0,25.0,0.005970673992905338,9.798182590890704,10.283737411503228,8980,1,0,0,0,0,0,0,1,0,0,0
6743,6.49,22.83,742.0,50000.0,8000.0,36,26.4,0.0,0.0,17.0,0.004903101937961241,8.987321812850123,9.832689481227412,16405,0,0,0,0,0,0,0,1,0,1,0
2481,21.48,22.6,677.0,57500.0,24150.0,60,70.3,0.0,0.0,9.0,0.011475974330881203,10.09208106609093,8.556990661290303,10227,0,0,0,1,0,0,0,1,0,1,0
5326,11.99,8.98,712.0,95000.0,18000.0,60,37.6,0.0,0.0,6.0,0.004213745118472437,9.798182590890704,8.696844519654313,3927,0,1,0,0,0,0,0,1,0,0,0
7853,9.17,18.64,692.0,30000.0,5950.0,36,41.4,0.0,0.0,5.0,0.006322455918136062,8.691314551644851,8.69265796074698,10075,1,0,0,0,0,0,0,1,1,0,0
381,7.91,24.41,717.0,50000.0,16000.0,36,64.8,0.0,0.0,9.0,0.01001419971600568,9.680406499268875,9.444542550647126,4139,0,0,0,0,0,0,0,0,0,0,0
6175,10.78,26.69,667.0,25000.0,2000.0,36,73.9,0.0,0.0,8.0,0.0026106955721771127,7.601402334583733,9.408453253565146,2556,1,0,0,0,0,0,0,1,1,0,0
2318,15.77,33.56,662.0,54000.0,7200.0,36,44.0,1.0,0.0,25.0,0.004672506064702505,8.881975184248866,10.231783597873164,3682,0,0,1,0,0,0,0,0,0,1,0
3428,7.91,12.49,717.0,151000.0,25000.0,36,71.2,0.0,0.0,7.0,0.005181290190131191,10.12667110305036,9.878887435667895,8369,0,0,0,0,0,0,0,0,0,0,0
